exchange,date,symbol,isin,open,high,low,close,volume,series,last,prevclose,tottrdval,timestamp,totaltrades,sc_group,no_trades,net_turnov,tdcloindi
nse,2018-07-30,20MICRONS,INE144J01027,40.8,40.8,39,39.35,8062,EQ,39.05,39.9,318581.8,30-JUL-2018,213,NA,NA,NA,NA
nse,2018-07-30,21STCENMGM,INE253B01015,37.8,37.8,37.8,37.8,1597,EQ,37.8,37.1,60366.6,30-JUL-2018,8,NA,NA,NA,NA
nse,2018-07-30,3IINFOTECH,INE748C01020,3.5,3.6,3.45,3.55,3290306,EQ,3.55,3.55,11618219.4,30-JUL-2018,1432,NA,NA,NA,NA
nse,2018-07-30,3MINDIA,INE470A01017,23523,23789.95,22752.1,23293.15,1384,EQ,23299.95,23609.8,32000369.4,30-JUL-2018,652,NA,NA,NA,NA
nse,2018-07-30,3PLAND,INE105C01023,12.4,14.05,12.1,13.95,4805,EQ,13.95,12.15,65885.3,30-JUL-2018,71,NA,NA,NA,NA
nse,2018-07-30,5PAISA,INE618L01018,344.55,353,337,339.15,3389,EQ,338,344.55,1153078.9,30-JUL-2018,318,NA,NA,NA,NA
nse,2018-07-30,63MOONS,INE111B01023,70,71.2,69.2,69.8,124508,EQ,69.7,69.8,8726574.75,30-JUL-2018,1335,NA,NA,NA,NA
nse,2018-07-30,8KMILES,INE650K01021,273.85,273.85,273.85,273.85,91291,EQ,273.85,260.85,25000040.35,30-JUL-2018,1018,NA,NA,NA,NA
nse,2018-07-30,A2ZINFRA,INE619I01012,23.95,23.95,22.45,22.9,958702,EQ,22.75,24.65,22073945.8,30-JUL-2018,3238,NA,NA,NA,NA
nse,2018-07-30,AAKASH,INE087Z01016,34.9,34.9,33.4,33.4,4000,SM,33.4,34.5,136600,30-JUL-2018,2,NA,NA,NA,NA
nse,2018-07-30,AARTIDRUGS,INE767A01016,553.2,567.65,553.2,560.45,5722,EQ,561,552.7,3215511.05,30-JUL-2018,450,NA,NA,NA,NA
nse,2018-07-30,AARTIIND,INE769A01020,1260,1265,1232,1243.8,7707,EQ,1237.2,1252.4,9672186.15,30-JUL-2018,920,NA,NA,NA,NA
nse,2018-07-30,AARVEEDEN,INE273D01019,31.4,34.5,30.65,33,14681,EQ,33.05,32.4,488442.3,30-JUL-2018,138,NA,NA,NA,NA
nse,2018-07-30,AARVI,INE754X01016,58,58,55.1,55.1,10000,SM,55.1,58,556800,30-JUL-2018,5,NA,NA,NA,NA
nse,2018-07-30,ABAN,INE421A01028,108.1,112.95,106.3,109.95,2074990,EQ,109.95,108.35,227081585.5,30-JUL-2018,19396,NA,NA,NA,NA
nse,2018-07-30,ABB,INE117A01022,1196,1219.45,1179,1209.55,45747,EQ,1212,1188.4,55188549.25,30-JUL-2018,4516,NA,NA,NA,NA
nse,2018-07-30,ABBOTINDIA,INE358A01014,7551,7723.95,7450,7686.25,5342,EQ,7700,7612.55,40417215.4,30-JUL-2018,1518,NA,NA,NA,NA
nse,2018-07-30,ABCAPITAL,INE674K01013,143,148.4,142.7,147.35,2918116,EQ,147.35,142.8,427896254.25,30-JUL-2018,19384,NA,NA,NA,NA
nse,2018-07-30,ABFRL,INE647O01011,140.05,143.75,140.05,142.5,174682,EQ,143,140,24833846.2,30-JUL-2018,3082,NA,NA,NA,NA
nse,2018-07-30,ABGSHIP,INE067H01016,5.65,5.8,5.4,5.65,31477,BZ,5.4,5.65,178891.7,30-JUL-2018,67,NA,NA,NA,NA
nse,2018-07-30,ABMINTLTD,INE251C01017,18.45,18.45,18.45,18.45,65,BE,18.45,19.4,1199.25,30-JUL-2018,1,NA,NA,NA,NA
nse,2018-07-30,ACC,INE012A01025,1537.7,1537.7,1501.05,1503.8,995382,EQ,1509.1,1535,1505803964.1,30-JUL-2018,34914,NA,NA,NA,NA
nse,2018-07-30,ACCELYA,INE793A01012,1089.65,1089.65,1047.3,1078.65,3329,EQ,1080,1073.6,3593639.3,30-JUL-2018,499,NA,NA,NA,NA
nse,2018-07-30,ACCORD,INE113X01015,46.5,46.8,46.5,46.8,4000,SM,46.8,39,186600,30-JUL-2018,2,NA,NA,NA,NA
nse,2018-07-30,ACE,INE731H01025,135.2,142.9,135.2,140.95,386528,EQ,140.7,136.65,53861618,30-JUL-2018,2399,NA,NA,NA,NA
nse,2018-07-30,ACEINTEG,INE543V01017,33,33,32,32,21000,SM,32,32.05,687e3,30-JUL-2018,3,NA,NA,NA,NA
nse,2018-07-30,ADANIENT,INE423A01024,197.2,200.4,192.35,193.55,13913862,EQ,193.45,195.9,2724292089.65,30-JUL-2018,70951,NA,NA,NA,NA
nse,2018-07-30,ADANIGREEN,INE364U01010,52.8,57.55,52.8,57.55,2011508,EQ,57.55,52.35,113247527.75,30-JUL-2018,9661,NA,NA,NA,NA
nse,2018-07-30,ADANIPORTS,INE742F01042,395,397.5,387.65,390.8,1649794,EQ,389.15,394.65,644850471.95,30-JUL-2018,31710,NA,NA,NA,NA
nse,2018-07-30,ADANIPOWER,INE814H01011,26.3,29.8,25.8,29.05,72767742,EQ,28.95,26.2,2016748904.5,30-JUL-2018,61502,NA,NA,NA,NA
nse,2018-07-30,ADANITRANS,INE931S01010,169,174.7,165.4,172.65,531333,EQ,172,168.2,90409060.7,30-JUL-2018,5616,NA,NA,NA,NA
nse,2018-07-30,ADFFOODS,INE982B01019,242.25,246,241.8,243.1,42659,EQ,242.2,242.2,10350646.55,30-JUL-2018,591,NA,NA,NA,NA
nse,2018-07-30,ADHUNIK,INE400H01019,3.05,3.35,3.05,3.35,414467,BE,3.35,3.2,1301671,30-JUL-2018,267,NA,NA,NA,NA
nse,2018-07-30,ADHUNIKIND,INE452L01012,77.3,78.3,75.5,76.65,9269,EQ,76.75,77.3,710679.8,30-JUL-2018,123,NA,NA,NA,NA
nse,2018-07-30,ADLABS,INE172N01012,34.9,36.55,34,34.9,143161,EQ,35,34.4,5059793,30-JUL-2018,1335,NA,NA,NA,NA
nse,2018-07-30,ADORWELD,INE045A01017,308.9,315,308,309.75,8872,EQ,309.3,306.05,2754986.6,30-JUL-2018,315,NA,NA,NA,NA
nse,2018-07-30,ADROITINFO,INE737B01033,30.45,30.45,28.3,28.8,1303,BE,28.3,29,37672.75,30-JUL-2018,13,NA,NA,NA,NA
nse,2018-07-30,ADSL,INE102I01027,15.2,16,14.65,15.65,31657,EQ,15.8,15,488441.3,30-JUL-2018,203,NA,NA,NA,NA
nse,2018-07-30,ADVANIHOTR,INE199C01026,51.4,55,49.5,53.75,49121,EQ,54.4,50.65,2576844.35,30-JUL-2018,334,NA,NA,NA,NA
nse,2018-07-30,ADVENZYMES,INE837H01020,208.15,211.8,207.05,210,69717,EQ,211,208.15,14616807.05,30-JUL-2018,1892,NA,NA,NA,NA
nse,2018-07-30,AEGISCHEM,INE208C01025,233.5,238.25,233.5,235,235303,EQ,235,235.8,55497234.75,30-JUL-2018,9294,NA,NA,NA,NA
nse,2018-07-30,AFL,INE020G01017,49.8,50,48.4,49.3,1685,EQ,49.3,48.95,83906.25,30-JUL-2018,13,NA,NA,NA,NA
nse,2018-07-30,AGARIND,INE204E01012,283,290,275,277,367,EQ,275,283,102349.25,30-JUL-2018,76,NA,NA,NA,NA
nse,2018-07-30,AGCNET,INE676A01019,114,116.85,111.2,112.35,7649,EQ,112.3,115.85,870115.2,30-JUL-2018,135,NA,NA,NA,NA
