SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,date,exchange
500002,ABB LTD.,A,Q,1188,1220,1181,1207.5,1207.5,1184.8,529,96935,116817993,NA,2018-07-30,bse
500003,AEGIS LOGIS,A,Q,236.05,237.7,234.45,234.7,234.5,236.65,185,8745,2063321,NA,2018-07-30,bse
500008,AMAR RAJA BA,A,Q,791.95,812,791.95,805.35,808,791.45,602,15904,12820404,NA,2018-07-30,bse
500009,A.SARABHAI,X,Q,12.7,13.29,12.69,12.8,12.69,12.76,69,45549,586397,NA,2018-07-30,bse
500010,HDFC,A,Q,2045,2051,2012.7,2028.05,2028.05,2044.45,3219,86269,175614647,NA,2018-07-30,bse
500012,ANDHRA PETRO,X,Q,61.7,63,61,62.55,62.7,60.9,332,84797,5284413,NA,2018-07-30,bse
500013,ANSAL INFRAS,B,Q,16,16.6,15.75,16.55,16.2,16,49,12042,196131,NA,2018-07-30,bse
500014,APPLE FINANC,XT,Q,2.2,2.2,2.2,2.2,2.2,2.1,10,3474,7642,NA,2018-07-30,bse
500016,ARUNA HOTEL,XT,Q,13.48,13.48,12.96,13.46,13.45,13.22,13,1374,18192,NA,2018-07-30,bse
500020,BOM DYEING,T,Q,243,253.9,236.3,253.45,253.45,241.85,845,103065,25658199,NA,2018-07-30,bse
500023,ASIANHOTNR,B,Q,231,246,225.4,225.4,225.4,230,12,780,184175,NA,2018-07-30,bse
500024,ASSAMCO,B,Q,3.63,3.71,3.61,3.71,3.71,3.54,164,276036,1021125,NA,2018-07-30,bse
500027,ATUL LTD.,A,Q,2760,2773.95,2726,2748.45,2730,2731.95,78,414,1137518,NA,2018-07-30,bse
500028,ATV PROJECTS,XT,Q,8.11,8.47,8.11,8.47,8.47,8.07,13,4672,38999,NA,2018-07-30,bse
500029,AUTOLITE(I),B,Q,56.65,57.9,56,56.7,56.35,57,33,3284,186873,NA,2018-07-30,bse
500031,BAJAJ ELECT.,A,Q,612,617.6,596,607.6,607.6,609.55,2753,67455,40921569,NA,2018-07-30,bse
500032,BAJAJHIND,A,Q,6.79,6.79,6.61,6.66,6.66,6.57,635,277055,1848444,NA,2018-07-30,bse
500033,FORCE MOTR,B,Q,2635,2680,2612,2630.3,2630.3,2635.25,1262,12802,33788730,NA,2018-07-30,bse
500034,BAJFINANCE,A,Q,2720.75,2721.8,2666,2678.65,2678.65,2708.4,2477,43350,116409133,NA,2018-07-30,bse
500038,BALRAM.CHINI,A,Q,71,74.55,69.7,72.95,72.95,70.65,1904,539860,38563881,NA,2018-07-30,bse
500039,BANCO PROD.,B,Q,209.4,209.4,206.4,207.55,207.9,206.25,132,6113,1268253,NA,2018-07-30,bse
500040,CENTURY TEXT,A,Q,945,959,927,937.55,936,941.4,4371,189404,178431629,NA,2018-07-30,bse
500041,BANNARI AMAN,B,Q,1455,1474.95,1436.05,1474.95,1474.95,1487,3,3,4366,NA,2018-07-30,bse
500042,BASF INDIA,B,Q,1819.9,1835.9,1751.05,1766.55,1751.05,1803.65,179,1241,2245289,NA,2018-07-30,bse
500043,BATA INDIA,A,Q,916.1,925,907.6,918.4,918.4,916.1,1522,48944,44933967,NA,2018-07-30,bse
500048,BEML LTD,A,Q,828.9,904.85,828,896.6,896.6,821.2,9979,403667,355534482,NA,2018-07-30,bse
500049,BHARAT ELECT,A,Q,103.35,108.75,102.75,107.6,107.6,102.3,5828,1152150,123242749,NA,2018-07-30,bse
500052,BHANSALI ENG,B,Q,132.95,137.8,130,137.8,137.8,131.25,1556,230260,31208434,NA,2018-07-30,bse
500055,BHUSH STEEL,B,Q,24.3,25,24.1,25,25,23.85,638,190020,4711157,NA,2018-07-30,bse
500058,BIHAR SPONGE,XT,Q,1.12,1.17,1.12,1.15,1.15,1.12,11,5015,5703,NA,2018-07-30,bse
500059,BINANI IND.,B,Q,83.55,84.5,83.5,84.25,84.25,83.15,69,4979,417437,NA,2018-07-30,bse
500060,BIRLACABLE,B,Q,90.9,90.9,87,89.4,90,89.7,50,3218,288729,NA,2018-07-30,bse
500067,BLUE STAR,A,Q,680.45,683.85,666,669.5,669.5,683.9,303,3463,2343814,NA,2018-07-30,bse
500068,DISA INDIA,X,Q,5770,5860,5750.05,5860,5860,5754.8,5,28,161610,NA,2018-07-30,bse
500069,BNK CAPITAL,X,Q,97.75,97.75,90.55,94.1,94.55,88.8,25,1042,98102,NA,2018-07-30,bse
500074,BPL LTD.,B,Q,57.25,58.45,56.65,57.2,57.2,57.25,558,70551,4061541,NA,2018-07-30,bse
500078,OAL,X,Q,811,835,811,830,830,828,18,652,540307,NA,2018-07-30,bse
500083,CENTURY EXT,B,Q,6.05,6.1,5.85,5.96,5.99,5.79,45,15609,93805,NA,2018-07-30,bse
500084,CESC LTD.,A,Q,959.9,959.9,938.25,948.15,948.15,949.6,726,16834,15943761,NA,2018-07-30,bse
500085,CHAMBAL FERT,A,Q,151.1,155,147.35,150.05,150.05,150.35,651,35025,5228890,NA,2018-07-30,bse
500086,EXIDE IND.,A,Q,275.05,276.5,270.5,275.1,276.3,273.25,839,66994,18369836,NA,2018-07-30,bse
500087,CIPLA LTD.,A,Q,630.55,636.3,627.95,632.5,632.5,634.1,1102,52373,33106951,NA,2018-07-30,bse
500089,DIC INDIA,B,Q,436,436,390,390,390,402,16,215,84252,NA,2018-07-30,bse
