SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,date,exchange
20MICRONS,EQ,40.8,40.8,39,39.35,39.05,39.9,8062,318581.8,30-JUL-2018,213,INE144J01027,2018-07-30,nse
21STCENMGM,EQ,37.8,37.8,37.8,37.8,37.8,37.1,1597,60366.6,30-JUL-2018,8,INE253B01015,2018-07-30,nse
3IINFOTECH,EQ,3.5,3.6,3.45,3.55,3.55,3.55,3290306,11618219.4,30-JUL-2018,1432,INE748C01020,2018-07-30,nse
3MINDIA,EQ,23523,23789.95,22752.1,23293.15,23299.95,23609.8,1384,32000369.4,30-JUL-2018,652,INE470A01017,2018-07-30,nse
3PLAND,EQ,12.4,14.05,12.1,13.95,13.95,12.15,4805,65885.3,30-JUL-2018,71,INE105C01023,2018-07-30,nse
5PAISA,EQ,344.55,353,337,339.15,338,344.55,3389,1153078.9,30-JUL-2018,318,INE618L01018,2018-07-30,nse
63MOONS,EQ,70,71.2,69.2,69.8,69.7,69.8,124508,8726574.75,30-JUL-2018,1335,INE111B01023,2018-07-30,nse
8KMILES,EQ,273.85,273.85,273.85,273.85,273.85,260.85,91291,25000040.35,30-JUL-2018,1018,INE650K01021,2018-07-30,nse
A2ZINFRA,EQ,23.95,23.95,22.45,22.9,22.75,24.65,958702,22073945.8,30-JUL-2018,3238,INE619I01012,2018-07-30,nse
AAKASH,SM,34.9,34.9,33.4,33.4,33.4,34.5,4000,136600,30-JUL-2018,2,INE087Z01016,2018-07-30,nse
AARTIDRUGS,EQ,553.2,567.65,553.2,560.45,561,552.7,5722,3215511.05,30-JUL-2018,450,INE767A01016,2018-07-30,nse
AARTIIND,EQ,1260,1265,1232,1243.8,1237.2,1252.4,7707,9672186.15,30-JUL-2018,920,INE769A01020,2018-07-30,nse
AARVEEDEN,EQ,31.4,34.5,30.65,33,33.05,32.4,14681,488442.3,30-JUL-2018,138,INE273D01019,2018-07-30,nse
AARVI,SM,58,58,55.1,55.1,55.1,58,10000,556800,30-JUL-2018,5,INE754X01016,2018-07-30,nse
ABAN,EQ,108.1,112.95,106.3,109.95,109.95,108.35,2074990,227081585.5,30-JUL-2018,19396,INE421A01028,2018-07-30,nse
ABB,EQ,1196,1219.45,1179,1209.55,1212,1188.4,45747,55188549.25,30-JUL-2018,4516,INE117A01022,2018-07-30,nse
ABBOTINDIA,EQ,7551,7723.95,7450,7686.25,7700,7612.55,5342,40417215.4,30-JUL-2018,1518,INE358A01014,2018-07-30,nse
ABCAPITAL,EQ,143,148.4,142.7,147.35,147.35,142.8,2918116,427896254.25,30-JUL-2018,19384,INE674K01013,2018-07-30,nse
ABFRL,EQ,140.05,143.75,140.05,142.5,143,140,174682,24833846.2,30-JUL-2018,3082,INE647O01011,2018-07-30,nse
ABGSHIP,BZ,5.65,5.8,5.4,5.65,5.4,5.65,31477,178891.7,30-JUL-2018,67,INE067H01016,2018-07-30,nse
ABMINTLTD,BE,18.45,18.45,18.45,18.45,18.45,19.4,65,1199.25,30-JUL-2018,1,INE251C01017,2018-07-30,nse
ACC,EQ,1537.7,1537.7,1501.05,1503.8,1509.1,1535,995382,1505803964.1,30-JUL-2018,34914,INE012A01025,2018-07-30,nse
ACCELYA,EQ,1089.65,1089.65,1047.3,1078.65,1080,1073.6,3329,3593639.3,30-JUL-2018,499,INE793A01012,2018-07-30,nse
ACCORD,SM,46.5,46.8,46.5,46.8,46.8,39,4000,186600,30-JUL-2018,2,INE113X01015,2018-07-30,nse
ACE,EQ,135.2,142.9,135.2,140.95,140.7,136.65,386528,53861618,30-JUL-2018,2399,INE731H01025,2018-07-30,nse
ACEINTEG,SM,33,33,32,32,32,32.05,21000,687e3,30-JUL-2018,3,INE543V01017,2018-07-30,nse
ADANIENT,EQ,197.2,200.4,192.35,193.55,193.45,195.9,13913862,2724292089.65,30-JUL-2018,70951,INE423A01024,2018-07-30,nse
ADANIGREEN,EQ,52.8,57.55,52.8,57.55,57.55,52.35,2011508,113247527.75,30-JUL-2018,9661,INE364U01010,2018-07-30,nse
ADANIPORTS,EQ,395,397.5,387.65,390.8,389.15,394.65,1649794,644850471.95,30-JUL-2018,31710,INE742F01042,2018-07-30,nse
ADANIPOWER,EQ,26.3,29.8,25.8,29.05,28.95,26.2,72767742,2016748904.5,30-JUL-2018,61502,INE814H01011,2018-07-30,nse
ADANITRANS,EQ,169,174.7,165.4,172.65,172,168.2,531333,90409060.7,30-JUL-2018,5616,INE931S01010,2018-07-30,nse
ADFFOODS,EQ,242.25,246,241.8,243.1,242.2,242.2,42659,10350646.55,30-JUL-2018,591,INE982B01019,2018-07-30,nse
ADHUNIK,BE,3.05,3.35,3.05,3.35,3.35,3.2,414467,1301671,30-JUL-2018,267,INE400H01019,2018-07-30,nse
ADHUNIKIND,EQ,77.3,78.3,75.5,76.65,76.75,77.3,9269,710679.8,30-JUL-2018,123,INE452L01012,2018-07-30,nse
ADLABS,EQ,34.9,36.55,34,34.9,35,34.4,143161,5059793,30-JUL-2018,1335,INE172N01012,2018-07-30,nse
ADORWELD,EQ,308.9,315,308,309.75,309.3,306.05,8872,2754986.6,30-JUL-2018,315,INE045A01017,2018-07-30,nse
ADROITINFO,BE,30.45,30.45,28.3,28.8,28.3,29,1303,37672.75,30-JUL-2018,13,INE737B01033,2018-07-30,nse
ADSL,EQ,15.2,16,14.65,15.65,15.8,15,31657,488441.3,30-JUL-2018,203,INE102I01027,2018-07-30,nse
ADVANIHOTR,EQ,51.4,55,49.5,53.75,54.4,50.65,49121,2576844.35,30-JUL-2018,334,INE199C01026,2018-07-30,nse
ADVENZYMES,EQ,208.15,211.8,207.05,210,211,208.15,69717,14616807.05,30-JUL-2018,1892,INE837H01020,2018-07-30,nse
AEGISCHEM,EQ,233.5,238.25,233.5,235,235,235.8,235303,55497234.75,30-JUL-2018,9294,INE208C01025,2018-07-30,nse
AFL,EQ,49.8,50,48.4,49.3,49.3,48.95,1685,83906.25,30-JUL-2018,13,INE020G01017,2018-07-30,nse
AGARIND,EQ,283,290,275,277,275,283,367,102349.25,30-JUL-2018,76,INE204E01012,2018-07-30,nse
AGCNET,EQ,114,116.85,111.2,112.35,112.3,115.85,7649,870115.2,30-JUL-2018,135,INE676A01019,2018-07-30,nse
AGLSL,EQ,86,89,80.2,88.4,89,83,10626,921505.85,30-JUL-2018,89,INE517U01013,2018-07-30,nse
AGRITECH,EQ,97,98.4,95.55,96.7,97.1,96.95,17274,1672141.3,30-JUL-2018,370,INE449G01018,2018-07-30,nse
AGROPHOS,SM,37.25,37.5,35.05,35.05,35.05,38.5,30000,1107e3,30-JUL-2018,5,INE740V01019,2018-07-30,nse
AHLEAST,EQ,258.05,261,250.95,256.9,257.5,254.1,7131,1830213.4,30-JUL-2018,132,INE926K01017,2018-07-30,nse
AHLUCONT,EQ,336.65,345,332.65,334.75,332.65,336.65,2527,854458.35,30-JUL-2018,153,INE758C01029,2018-07-30,nse
AHLWEST,EQ,288.15,297.95,288.05,289.8,288.05,302.8,117,33962.4,30-JUL-2018,16,INE915K01010,2018-07-30,nse
AIAENG,EQ,1649.25,1660,1627.7,1651.75,1650,1649.25,22895,37774559.35,30-JUL-2018,2978,INE212H01026,2018-07-30,nse
AIFL,EQ,451.55,462,450.2,459.85,459,450.1,163775,74591756.2,30-JUL-2018,2408,INE428O01016,2018-07-30,nse
AIRAN,SM,357.25,366.9,357.25,362.45,361.75,361.75,21500,7765500,30-JUL-2018,17,INE645W01018,2018-07-30,nse
